"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 22 09:40:27 GMT 2022","Tue Nov 22 09:40:35 GMT 2022","7364","firefox","","","","","Must fail",""
"passed","Tue Nov 22 09:40:09 GMT 2022","Tue Nov 22 09:40:12 GMT 2022","2408","firefox","","","","","homepage has title and links to intro page",""
"passed","Tue Nov 22 09:41:04 GMT 2022","Tue Nov 22 09:41:05 GMT 2022","793","webkit","","","","","Success test 2",""
"failed","Tue Nov 22 09:41:18 GMT 2022","Tue Nov 22 09:41:24 GMT 2022","6263","webkit","","","","","Must fail",""
"failed","Tue Nov 22 09:39:45 GMT 2022","Tue Nov 22 09:39:50 GMT 2022","5544","chromium","","","","","Must fail",""
"failed","Tue Nov 22 09:40:51 GMT 2022","Tue Nov 22 09:40:58 GMT 2022","7335","firefox","","","","","Must fail2",""
"failed","Tue Nov 22 09:41:39 GMT 2022","Tue Nov 22 09:41:45 GMT 2022","6321","webkit","","","","","Must fail2",""
"passed","Tue Nov 22 09:40:12 GMT 2022","Tue Nov 22 09:40:12 GMT 2022","753","firefox","","","","","Success test 2",""
"failed","Tue Nov 22 09:40:03 GMT 2022","Tue Nov 22 09:40:09 GMT 2022","5538","chromium","","","","","Must fail2",""
"passed","Tue Nov 22 09:40:59 GMT 2022","Tue Nov 22 09:41:04 GMT 2022","4944","webkit","","","","","homepage has title and links to intro page",""
"passed","Tue Nov 22 09:39:32 GMT 2022","Tue Nov 22 09:39:32 GMT 2022","899","chromium","","","","","homepage has title and links to intro page",""
"passed","Tue Nov 22 09:39:32 GMT 2022","Tue Nov 22 09:39:33 GMT 2022","336","chromium","","","","","Success test 2",""
