"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 26 18:22:14 GMT 2022","Sat Nov 26 18:22:21 GMT 2022","6765","webkit","","","","","Must fail2",""
"passed","Sat Nov 26 18:20:26 GMT 2022","Sat Nov 26 18:20:30 GMT 2022","3713","firefox","","","","","homepage has title and links to intro page",""
"failed","Sat Nov 26 18:21:51 GMT 2022","Sat Nov 26 18:21:58 GMT 2022","6702","webkit","","","","","Must fail",""
"failed","Sat Nov 26 18:19:57 GMT 2022","Sat Nov 26 18:20:04 GMT 2022","6890","chromium","","","","","Must fail",""
"passed","Sat Nov 26 18:21:25 GMT 2022","Sat Nov 26 18:21:35 GMT 2022","10264","webkit","","","","","homepage has title and links to intro page",""
"passed","Sat Nov 26 18:19:40 GMT 2022","Sat Nov 26 18:19:42 GMT 2022","1883","chromium","","","","","homepage has title and links to intro page",""
"failed","Sat Nov 26 18:21:16 GMT 2022","Sat Nov 26 18:21:24 GMT 2022","8365","firefox","","","","","Must fail2",""
"passed","Sat Nov 26 18:19:42 GMT 2022","Sat Nov 26 18:19:42 GMT 2022","522","chromium","","","","","Success test 2",""
"failed","Sat Nov 26 18:20:48 GMT 2022","Sat Nov 26 18:20:56 GMT 2022","8155","firefox","","","","","Must fail",""
"passed","Sat Nov 26 18:20:30 GMT 2022","Sat Nov 26 18:20:31 GMT 2022","1161","firefox","","","","","Success test 2",""
"passed","Sat Nov 26 18:21:35 GMT 2022","Sat Nov 26 18:21:36 GMT 2022","1386","webkit","","","","","Success test 2",""
"failed","Sat Nov 26 18:20:19 GMT 2022","Sat Nov 26 18:20:26 GMT 2022","6574","chromium","","","","","Must fail2",""
