"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 22 08:29:17 GMT 2022","Tue Nov 22 08:29:21 GMT 2022","3499","firefox","","","","","homepage has title and links to intro page",""
"passed","Tue Nov 22 08:30:12 GMT 2022","Tue Nov 22 08:30:20 GMT 2022","7779","webkit","","","","","homepage has title and links to intro page",""
"passed","Tue Nov 22 08:28:37 GMT 2022","Tue Nov 22 08:28:39 GMT 2022","1728","chromium","","","","","homepage has title and links to intro page",""
"failed","Tue Nov 22 08:29:11 GMT 2022","Tue Nov 22 08:29:16 GMT 2022","5693","chromium","","","","","Must fail2",""
"passed","Tue Nov 22 08:29:21 GMT 2022","Tue Nov 22 08:29:22 GMT 2022","937","firefox","","","","","Success test 2",""
"failed","Tue Nov 22 08:30:57 GMT 2022","Tue Nov 22 08:31:04 GMT 2022","6725","webkit","","","","","Must fail2",""
"failed","Tue Nov 22 08:28:52 GMT 2022","Tue Nov 22 08:28:57 GMT 2022","5750","chromium","","","","","Must fail",""
"passed","Tue Nov 22 08:28:39 GMT 2022","Tue Nov 22 08:28:39 GMT 2022","452","chromium","","","","","Success test 2",""
"failed","Tue Nov 22 08:29:37 GMT 2022","Tue Nov 22 08:29:45 GMT 2022","8014","firefox","","","","","Must fail",""
"failed","Tue Nov 22 08:30:35 GMT 2022","Tue Nov 22 08:30:42 GMT 2022","6630","webkit","","","","","Must fail",""
"failed","Tue Nov 22 08:30:03 GMT 2022","Tue Nov 22 08:30:11 GMT 2022","7850","firefox","","","","","Must fail2",""
"passed","Tue Nov 22 08:30:20 GMT 2022","Tue Nov 22 08:30:21 GMT 2022","1094","webkit","","","","","Success test 2",""
